Stock,Date,Open,High,Low,Close,Volume,Log Return,Volatility
AAPL,2025-03-04,241.79,244.0272,234.68,235.93,100982047,0.0,
AAPL,2025-02-28,229.99,250.0,225.7,241.84,862317019,0.024741199612580606,
AAPL,2025-01-31,248.93,249.1,219.38,236.0,1200291603,-0.024444545445592582,
AAPL,2024-12-31,237.27,260.1,237.16,250.42,977942014,0.0593077032151914,
AAPL,2024-11-29,220.965,237.81,219.71,237.33,891640714,-0.053687930539386856,
AAPL,2024-10-31,229.52,237.49,221.33,225.91,930835961,-0.04931488783228379,
AAPL,2024-09-30,228.55,233.09,213.92,233.0,1231814423,0.030901763696569624,
AAPL,2024-08-30,224.37,232.92,196.0,229.0,1122666993,-0.01731645001146093,
AAPL,2024-07-31,212.09,237.23,211.92,222.08,1153193377,-0.0306843262357999,
AAPL,2024-06-28,192.9,220.2,192.15,210.62,1723984420,-0.05298211536598863,
AAPL,2024-05-31,169.58,193.0,169.11,192.25,1336570142,-0.0912589535666978,
AAPL,2024-04-30,171.19,178.36,164.075,170.33,1240410671,-0.12105887651326742,
AAPL,2024-03-28,179.55,180.53,168.49,171.48,1430780147,0.0067289098572903905,
AAPL,2024-02-29,183.985,191.05,179.25,180.75,1161711745,0.05264821930909779,
AAPL,2024-01-31,187.15,196.38,180.17,184.4,1187139861,0.019992450083619315,
AAPL,2023-12-29,190.33,199.62,187.4511,192.53,1062317718,0.04314467461875075,
AAPL,2023-11-30,171.0,192.93,170.12,189.95,1099760711,-0.01349110610760959,
AAPL,2023-10-31,171.22,182.34,165.67,170.77,1172845791,-0.10644325773448676,
AAPL,2023-09-29,189.485,189.98,167.62,171.21,1337873796,0.0025732513175788303,
AAPL,2023-08-31,196.235,196.73,171.96,187.87,1323817340,0.09285936106248109,
AAPL,2023-07-31,193.78,198.23,186.6,196.45,996368613,0.04465771172526119,
AAPL,2023-06-30,177.7,194.48,176.9306,193.97,1297863403,-0.012704438074268421,
AAPL,2023-05-31,169.28,179.35,164.31,177.25,1275052503,-0.09014234251796346,
AAPL,2023-04-28,164.27,169.85,159.78,169.68,967580718,-0.04364685515580983,
AAPL,2023-03-31,146.83,165.0,143.9,164.9,1520461315,-0.02857508069087381,
AAPL,2023-02-28,143.97,157.38,141.32,147.41,1307294493,-0.11212140950636648,
AAPL,2023-01-31,130.28,147.23,124.17,144.29,1443652725,-0.021392656750022467,
AAPL,2022-12-30,148.21,150.9199,125.87,129.93,1675731304,-0.10482931941451921,
AAPL,2022-11-30,155.08,155.45,134.38,148.03,1724948219,0.1304191120307557,
AAPL,2022-10-31,138.21,157.5,134.37,153.34,1868381344,0.03524272220534771,
AAPL,2022-09-30,156.64,164.26,138.0,138.2,2083968147,-0.103955766797179,
AAPL,2022-08-31,161.01,176.15,157.14,157.22,1509735435,0.12894418703204102,
AAPL,2022-07-29,136.04,163.63,135.66,162.51,1447364668,0.03309343997230668,
